商品编号,商品名称,商品品牌,状态,商品价格,全国总销量,全国总库存,总可订购,北京销量,北京库存,北京可订购,上海销量,上海库存,上海可订购,广州销量,广州库存,广州可订购,成都销量,成都库存,成都可订购,武汉销量,武汉库存,武汉可订购,沈阳销量,沈阳库存,沈阳可订购,济南销量,济南库存,济南可订购,西安销量,西安库存,西安可订购,重庆销量,重庆库存,重庆可订购,南京销量,南京库存,南京可订购,厦门销量,厦门库存,厦门可订购,乌鲁木齐销量,乌鲁木齐库存,乌鲁木齐可订购,宿迁销量,宿迁库存,宿迁可订购,贵阳销量,贵阳库存,贵阳可订购,南昌销量,南昌库存,南昌可订购,固安销量,固安库存,固安可订购,郑州销量,郑州库存,郑州可订购,呼和浩特销量,呼和浩特库存,呼和浩特可订购,海口销量,海口库存,海口可订购,青岛销量,青岛库存,青岛可订购,大连销量,大连库存,大连可订购,长沙销量,长沙库存,长沙可订购
3101421,阿尔卡特,nike,上柜,319,0,6,6,0,0,0,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3100129,阿尔派,nike,上柜,99,1,19,58,1,4,11,0,5,14,0,1,1,0,3,7,0,3,13,0,0,4,- ,- ,- ,0,0,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,3,7,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
4100121,阿尔,nike,上柜,149,0,48,107,- ,- ,- ,0,14,34,0,7,26,0,9,29,- ,- ,- ,0,8,8,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,10,10,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
4130121,大腿肉,nike,上柜,178,0,0,16,0,0,3,0,0,4,0,0,0,0,0,2,0,0,3,0,0,1,- ,- ,- ,0,0,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,2,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
5100521,可乐,nike,下柜,179,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
7100121,啤酒,nike,下柜,65,0,0,26,0,0,5,0,0,9,0,0,0,0,0,4,0,0,2,0,0,0,- ,- ,- ,0,0,5,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
8104521,裤子,nike,下柜,65,0,0,17,0,0,3,0,0,3,0,0,0,0,0,3,0,0,5,0,0,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
2319821,衣服,nike,上柜,65,0,2,18,0,0,2,0,0,2,0,1,1,0,0,2,0,0,5,0,0,2,- ,- ,- ,0,1,3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0,0,1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
3167721,雪碧,nike,下柜,209,0,0,0,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,21,- ,- ,- ,- ,- ,- ,7,123,443,1,136,491,1,129,174,0,61,287,0,66,266,1,57,200,1,0,0,0,36,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74,159,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1
